Case_ID,Lead_ID,Case_Type,Paralegal_Assigned,Status,Open_Date,Settled_Date,Gross_Settlement_Amount,Case_Notes,Lead_Source,Date_Acquired,Marketing_Cost,Days_to_Settle,Firm_Revenue,Net_Profit,AI_Predicted_Severity
C-5041,L-1041,Car Accident,Jessica Lin,Open,2022-04-10,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.,Billboards,2022-04-10,2925.43,0.0,0.0,-2925.43,High
C-5042,L-1042,Medical Malpractice,Mike Torres,Settled,2023-01-03,2023-08-22,256769.1,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Organic,2023-01-03,0.0,231.0,85504.1103,85504.1103,High
C-5043,L-1043,Car Accident,David Walsh,Settled,2022-12-19,2023-12-08,427407.22,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Billboards,2022-12-19,4458.6,354.0,142326.60426,137868.00426,Medium
C-5044,L-1044,Slip & Fall,Mike Torres,Settled,2023-09-11,2024-01-22,119989.88,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Referrals,2023-09-11,451.22,133.0,39956.630040000004,39505.41004,Medium
C-5045,L-1045,Medical Malpractice,Sarah Jenkins,Settled,2022-09-28,2023-07-23,227531.36,T-boned at intersection. Multiple broken ribs and internal bleeding.,Google Ads,2022-09-28,746.96,298.0,75767.94288,75020.98288,High
C-5046,L-1046,Slip & Fall,David Walsh,Settled,2022-02-14,2022-09-15,315415.06,Minor fender bender. Client complains of back pain but no visible injuries.,Billboards,2022-02-14,1008.62,213.0,105033.21498,104024.59498000001,Low
C-5047,L-1047,Car Accident,Jessica Lin,Settled,2023-04-16,2024-06-09,324651.45,T-boned at intersection. Multiple broken ribs and internal bleeding.,Organic,2023-04-16,0.0,420.0,108108.93285000001,108108.93285000001,High
C-5048,L-1048,Medical Malpractice,Mike Torres,Dropped,2023-07-04,,0.0,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Referrals,2023-07-04,195.21,0.0,0.0,-195.21,Medium
C-5049,L-1049,Medical Malpractice,Mike Torres,Dropped,2022-05-08,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Google Ads,2022-05-08,1889.78,0.0,0.0,-1889.78,High
C-5050,L-1050,Car Accident,Jessica Lin,Settled,2023-01-23,2023-12-08,359925.8,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Google Ads,2023-01-23,1677.69,319.0,119855.2914,118177.6014,Medium
C-5051,L-1051,Car Accident,Jessica Lin,Dropped,2022-03-22,,0.0,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Google Ads,2022-03-22,927.87,0.0,0.0,-927.87,Medium
C-5052,L-1052,Slip & Fall,David Walsh,Settled,2023-07-20,2023-12-04,142992.48,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Organic,2023-07-20,0.0,137.0,47616.49584,47616.49584,Medium
C-5053,L-1053,Slip & Fall,David Walsh,Settled,2022-10-28,2023-08-21,315927.41,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Organic,2022-10-28,0.0,297.0,105203.82753,105203.82753,Medium
C-5054,L-1054,Slip & Fall,Jessica Lin,Open,2023-10-06,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Organic,2023-10-06,0.0,0.0,0.0,0.0,High
C-5055,L-1055,Car Accident,Jessica Lin,Settled,2023-09-26,2024-05-29,303822.61,T-boned at intersection. Multiple broken ribs and internal bleeding.,Referrals,2023-09-26,348.3,246.0,101172.92913,100824.62913,High
C-5056,L-1056,Slip & Fall,Mike Torres,Settled,2023-01-06,2023-10-11,220868.31,Minor fender bender. Client complains of back pain but no visible injuries.,Referrals,2023-01-06,365.25,278.0,73549.14723,73183.89723,Low
C-5057,L-1057,Medical Malpractice,Jessica Lin,Open,2023-08-15,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.,Google Ads,2023-08-15,1675.04,0.0,0.0,-1675.04,High
C-5058,L-1058,Medical Malpractice,Jessica Lin,Open,2022-07-16,,0.0,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Google Ads,2022-07-16,1492.81,0.0,0.0,-1492.81,Low
C-5059,L-1059,Car Accident,Sarah Jenkins,Settled,2022-03-13,2023-03-09,164534.47,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Organic,2022-03-13,0.0,361.0,54789.97851,54789.97851,High
C-5060,L-1060,Slip & Fall,David Walsh,Settled,2022-02-16,2023-02-22,158894.21,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Organic,2022-02-16,0.0,371.0,52911.77193,52911.77193,High
C-5061,L-1061,Medical Malpractice,Sarah Jenkins,Settled,2023-11-09,2025-01-31,212379.19,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Google Ads,2023-11-09,1230.01,449.0,70722.27027000001,69492.26027000001,Medium
C-5062,L-1062,Medical Malpractice,Mike Torres,Settled,2022-08-22,2023-04-25,124360.6,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Google Ads,2022-08-22,784.85,246.0,41412.07980000001,40627.22980000001,High
C-5063,L-1063,Slip & Fall,David Walsh,Open,2022-10-24,,0.0,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Referrals,2022-10-24,108.85,0.0,0.0,-108.85,Medium
C-5064,L-1064,Slip & Fall,Sarah Jenkins,Dropped,2022-03-23,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.,Google Ads,2022-03-23,587.72,0.0,0.0,-587.72,Low
C-5065,L-1065,Medical Malpractice,Sarah Jenkins,Settled,2022-08-27,2023-01-25,328758.68,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Billboards,2022-08-27,3942.95,151.0,109476.64044,105533.69044,High
C-5066,L-1066,Medical Malpractice,David Walsh,Settled,2022-04-14,2022-12-21,67006.31,Minor fender bender. Client complains of back pain but no visible injuries.,Organic,2022-04-14,0.0,251.0,22313.10123,22313.10123,Low
C-5067,L-1067,Medical Malpractice,Jessica Lin,Settled,2023-01-25,2024-01-24,428631.74,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Organic,2023-01-25,0.0,364.0,142734.36942,142734.36942,Low
C-5068,L-1068,Medical Malpractice,David Walsh,Settled,2022-10-12,2023-12-29,95540.18,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.,Referrals,2022-10-12,30.48,443.0,31814.87994,31784.39994,High
C-5069,L-1069,Car Accident,Mike Torres,Open,2023-04-10,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.,Google Ads,2023-04-10,970.41,0.0,0.0,-970.41,Low
C-5070,L-1070,Car Accident,David Walsh,Dropped,2023-10-13,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Billboards,2023-10-13,1200.57,0.0,0.0,-1200.57,High
C-5071,L-1071,Medical Malpractice,Jessica Lin,Open,2023-01-09,,0.0,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Organic,2023-01-09,0.0,0.0,0.0,0.0,Medium
C-5072,L-1072,Car Accident,Jessica Lin,Open,2022-06-16,,0.0,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.,Google Ads,2022-06-16,1215.18,0.0,0.0,-1215.18,High
C-5073,L-1073,Slip & Fall,Mike Torres,Dropped,2023-01-15,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.,Referrals,2023-01-15,459.69,0.0,0.0,-459.69,High
C-5074,L-1074,Car Accident,Mike Torres,Open,2022-12-30,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.,Billboards,2022-12-30,3124.5,0.0,0.0,-3124.5,Low
C-5075,L-1075,Medical Malpractice,Sarah Jenkins,Open,2022-08-03,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Organic,2022-08-03,0.0,0.0,0.0,0.0,High
C-5076,L-1076,Medical Malpractice,Jessica Lin,Open,2023-11-18,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.,Organic,2023-11-18,0.0,0.0,0.0,0.0,High
C-5077,L-1077,Slip & Fall,David Walsh,Settled,2022-10-01,2023-04-19,336293.02,T-boned at intersection. Multiple broken ribs and internal bleeding.,Billboards,2022-10-01,1227.52,200.0,111985.57566000002,110758.05566000001,High
C-5078,L-1078,Medical Malpractice,David Walsh,Settled,2023-12-01,2024-07-19,330194.48,Minor fender bender. Client complains of back pain but no visible injuries.,Billboards,2023-12-01,3031.31,231.0,109954.76184,106923.45184000001,Low
C-5079,L-1079,Medical Malpractice,David Walsh,Open,2023-10-26,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.,Billboards,2023-10-26,4405.37,0.0,0.0,-4405.37,High
C-5080,L-1080,Car Accident,David Walsh,Settled,2022-03-15,2023-03-08,274603.97,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Google Ads,2022-03-15,602.78,358.0,91443.12200999999,90840.34201,Medium
C-5081,L-1081,Car Accident,Sarah Jenkins,Open,2023-09-16,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.,Billboards,2023-09-16,1271.84,0.0,0.0,-1271.84,Low
C-5082,L-1082,Medical Malpractice,David Walsh,Dropped,2023-10-13,,0.0,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Google Ads,2023-10-13,1792.73,0.0,0.0,-1792.73,High
C-5083,L-1083,Slip & Fall,Jessica Lin,Settled,2022-06-25,2022-11-13,377193.34,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Organic,2022-06-25,0.0,141.0,125605.38222000001,125605.38222000001,Medium
C-5084,L-1084,Car Accident,Mike Torres,Open,2023-07-01,,0.0,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Referrals,2023-07-01,201.89,0.0,0.0,-201.89,Low
C-5085,L-1085,Slip & Fall,Jessica Lin,Settled,2022-09-08,2023-05-07,113955.18,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Google Ads,2022-09-08,1912.39,241.0,37947.07494,36034.68494,High
C-5086,L-1086,Car Accident,David Walsh,Settled,2022-06-17,2022-12-15,146486.4,T-boned at intersection. Multiple broken ribs and internal bleeding.,Google Ads,2022-06-17,1354.51,181.0,48779.9712,47425.4612,High
C-5087,L-1087,Medical Malpractice,Sarah Jenkins,Dropped,2023-04-19,,0.0,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout.",Google Ads,2023-04-19,1368.38,0.0,0.0,-1368.38,Low
C-5088,L-1088,Slip & Fall,Sarah Jenkins,Settled,2023-01-24,2024-01-22,70063.59,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Referrals,2023-01-24,19.87,363.0,23331.17547,23311.30547,High
C-5089,L-1089,Medical Malpractice,Mike Torres,Settled,2022-10-04,2023-01-25,438818.3,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Referrals,2022-10-04,40.99,113.0,146126.4939,146085.5039,High
C-5090,L-1090,Medical Malpractice,Jessica Lin,Open,2023-10-18,,0.0,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.,Google Ads,2023-10-18,1486.06,0.0,0.0,-1486.06,Medium
C-5091,L-1091,Car Accident,Jessica Lin,Settled,2023-07-25,2024-08-01,142079.44,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Billboards,2023-07-25,3260.91,373.0,47312.45352,44051.54352000001,High
C-5092,L-1092,Slip & Fall,Mike Torres,Settled,2022-08-13,2023-01-14,292473.3,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.,Google Ads,2022-08-13,974.55,154.0,97393.6089,96419.0589,Medium
C-5093,L-1093,Slip & Fall,David Walsh,Dropped,2022-11-29,,0.0,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Google Ads,2022-11-29,891.15,0.0,0.0,-891.15,High
C-5094,L-1094,Car Accident,Mike Torres,Settled,2022-02-27,2023-02-03,59625.63,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Google Ads,2022-02-27,1504.59,341.0,19855.33479,18350.74479,High
C-5095,L-1095,Car Accident,David Walsh,Dropped,2022-08-23,,0.0,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.,Google Ads,2022-08-23,971.28,0.0,0.0,-971.28,High
C-5096,L-1096,Medical Malpractice,David Walsh,Settled,2022-02-02,2022-05-09,264717.94,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage.",Referrals,2022-02-02,132.81,96.0,88151.07402,88018.26402,High
C-5097,L-1097,Slip & Fall,Mike Torres,Dropped,2022-11-20,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.,Google Ads,2022-11-20,696.32,0.0,0.0,-696.32,High
C-5098,L-1098,Slip & Fall,David Walsh,Open,2023-02-15,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Referrals,2023-02-15,322.75,0.0,0.0,-322.75,High
C-5099,L-1099,Medical Malpractice,Mike Torres,Settled,2022-10-02,2023-08-28,223240.68,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery.",Referrals,2022-10-02,228.61,330.0,74339.14644,74110.53644,High
