Case_ID,Lead_ID,Case_Type,Paralegal_Assigned,Status,Open_Date,Settled_Date,Gross_Settlement_Amount,Case_Notes
C-5060,L-1060,Slip & Fall,David Walsh,Settled,2022-02-16,2023-02-22,158894.21,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5061,L-1061,Medical Malpractice,Sarah Jenkins,Settled,2023-11-09,2025-01-31,212379.19,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.
C-5062,L-1062,Medical Malpractice,Mike Torres,Settled,2022-08-22,2023-04-25,124360.6,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5063,L-1063,Slip & Fall,David Walsh,Open,2022-10-24,,0.0,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.
C-5064,L-1064,Slip & Fall,Sarah Jenkins,Dropped,2022-03-23,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.
C-5065,L-1065,Medical Malpractice,Sarah Jenkins,Settled,2022-08-27,2023-01-25,328758.68,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5066,L-1066,Medical Malpractice,David Walsh,Settled,2022-04-14,2022-12-21,67006.31,Minor fender bender. Client complains of back pain but no visible injuries.
C-5067,L-1067,Medical Malpractice,Jessica Lin,Settled,2023-01-25,2024-01-24,428631.74,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout."
C-5068,L-1068,Medical Malpractice,David Walsh,Settled,2022-10-12,2023-12-29,95540.18,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.
C-5069,L-1069,Car Accident,Mike Torres,Open,2023-04-10,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.
C-5070,L-1070,Car Accident,David Walsh,Dropped,2023-10-13,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery."
C-5071,L-1071,Medical Malpractice,Jessica Lin,Open,2023-01-09,,0.0,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.
C-5072,L-1072,Car Accident,Jessica Lin,Open,2022-06-16,,0.0,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.
C-5073,L-1073,Slip & Fall,Mike Torres,Dropped,2023-01-15,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.
C-5074,L-1074,Car Accident,Mike Torres,Open,2022-12-30,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.
C-5075,L-1075,Medical Malpractice,Sarah Jenkins,Open,2022-08-03,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery."
C-5076,L-1076,Medical Malpractice,Jessica Lin,Open,2023-11-18,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.
C-5077,L-1077,Slip & Fall,David Walsh,Settled,2022-10-01,2023-04-19,336293.02,T-boned at intersection. Multiple broken ribs and internal bleeding.
C-5078,L-1078,Medical Malpractice,David Walsh,Settled,2023-12-01,2024-07-19,330194.48,Minor fender bender. Client complains of back pain but no visible injuries.
C-5079,L-1079,Medical Malpractice,David Walsh,Open,2023-10-26,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.
C-5080,L-1080,Car Accident,David Walsh,Settled,2022-03-15,2023-03-08,274603.97,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.
C-5081,L-1081,Car Accident,Sarah Jenkins,Open,2023-09-16,,0.0,Minor fender bender. Client complains of back pain but no visible injuries.
C-5082,L-1082,Medical Malpractice,David Walsh,Dropped,2023-10-13,,0.0,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5083,L-1083,Slip & Fall,Jessica Lin,Settled,2022-06-25,2022-11-13,377193.34,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.
C-5084,L-1084,Car Accident,Mike Torres,Open,2023-07-01,,0.0,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout."
C-5085,L-1085,Slip & Fall,Jessica Lin,Settled,2022-09-08,2023-05-07,113955.18,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5086,L-1086,Car Accident,David Walsh,Settled,2022-06-17,2022-12-15,146486.4,T-boned at intersection. Multiple broken ribs and internal bleeding.
C-5087,L-1087,Medical Malpractice,Sarah Jenkins,Dropped,2023-04-19,,0.0,"Tripped over uneven sidewalk. Scraped knee, minor injuries, likely low payout."
C-5088,L-1088,Slip & Fall,Sarah Jenkins,Settled,2023-01-24,2024-01-22,70063.59,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5089,L-1089,Medical Malpractice,Mike Torres,Settled,2022-10-04,2023-01-25,438818.3,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5090,L-1090,Medical Malpractice,Jessica Lin,Open,2023-10-18,,0.0,Slipped on wet floor in supermarket. Sprained ankle and bruised tailbone.
C-5091,L-1091,Car Accident,Jessica Lin,Settled,2023-07-25,2024-08-01,142079.44,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery."
C-5092,L-1092,Slip & Fall,Mike Torres,Settled,2022-08-13,2023-01-14,292473.3,Rear-ended at stoplight. Whiplash and mild concussion. Physical therapy ongoing.
C-5093,L-1093,Slip & Fall,David Walsh,Dropped,2022-11-29,,0.0,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5094,L-1094,Car Accident,Mike Torres,Settled,2022-02-27,2023-02-03,59625.63,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5095,L-1095,Car Accident,David Walsh,Dropped,2022-08-23,,0.0,Dog bite incident. Severe lacerations on right arm. Requires reconstructive surgery.
C-5096,L-1096,Medical Malpractice,David Walsh,Settled,2022-02-02,2022-05-09,264717.94,"Misdiagnosed fracture by ER doctor, led to permanent nerve damage."
C-5097,L-1097,Slip & Fall,Mike Torres,Dropped,2022-11-20,,0.0,T-boned at intersection. Multiple broken ribs and internal bleeding.
C-5098,L-1098,Slip & Fall,David Walsh,Open,2023-02-15,,0.0,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery."
C-5099,L-1099,Medical Malpractice,Mike Torres,Settled,2022-10-02,2023-08-28,223240.68,"Client hit by truck at intersection, fractured femur, surgery required, expected long recovery."
