Prospect ID,Firm Name,Website,Contact Page URL,Public Business Email,Secondary Public Email,Phone Number,City,State,Practice Area,Decision Maker Name,Decision Maker Title,Decision Maker LinkedIn URL,Firm LinkedIn URL,Estimated Firm Size,Founder-Led Signal,Main Pain Signal,Authority Score,Pain Score,Payment Capacity Score,Ease of Entry Score,Total Score,Tier,Personalization Observation,Outreach Angle,Evidence / Source Notes,Public Source URL for Email,Status
TX-IMM-00011,"Law Office of Alma Garcia-Rivera, PLLC",http://www.agrlawfirm.com/,https://www.agrlawfirm.com/contact,info@agrlawfirm.com,,+832-235-0674,Houston,Texas,"Criminal, Other, Immigration, Juvenile",Alma Garcia-Rivera,Founder,http://www.linkedin.com/pub/alma-garcia/24/737/527,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Law Office of Alma Garcia-Rivera, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: free consultation, available 24/7, spanish-language positioning, consultation CTA. Website sub-practice signals: deport, removal, naturalization. Public website email found on http://www.agrlawfirm.com/.",http://www.agrlawfirm.com/,ready_outreach
TX-IMM-00012,"Law Office of Anne T. Nguyen, PLLC",http://WWW.danpllc.com/,http://danpllc.com/contact-us,info@danpllc.com,,+281-888-9730,Houston,Texas,Immigration,Anh Tuyet Nguyen,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Law Office of Anne T. Nguyen, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: call now, spanish-language positioning. Website sub-practice signals: citizenship, removal, naturalization, uscis. Public website email found on http://WWW.danpllc.com/.",http://WWW.danpllc.com/,ready_outreach
TX-IMM-00013,Law Office of Daniel Corno,http://www.cornofamilylaw.com/,http://www.cornofamilylaw.com/contact.html,cornofamilylaw@yahoo.com,cornofamilylaw@gmail.com,+832-767-2922,Houston,Texas,"Criminal, Family, Immigration, Juvenile, School Law",Daniel Jason Corno,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Law Office of Daniel Corno', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: language translation. Website sub-practice signals: deport, citizenship, family immigration, visa. Public website email found on http://www.cornofamilylaw.com/contact.html.",http://www.cornofamilylaw.com/contact.html,ready_outreach
TX-IMM-00014,Law Office of Dhiraj Suvarna,https://www.SuvarnaLaw.com/,https://www.SuvarnaLaw.com/contact-us,consultationwithdhirajsuvarnaesq@suvarnalaw.com,dsuvarna@suvarnalaw.com,+713-320-1486,Houston,Texas,Immigration,Dhiraj Nireshwallia Suvarna,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,http://linkedin.com/company/squarespace,6-10,yes,case-status communication burden,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with heavy consultation CTA likely case-status communication burden.,case-status communication burden,"Texas Bar detail: firm 'Law Office of Dhiraj Suvarna', size '6 to 10', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA. Website sub-practice signals: asylum, deport, removal, family immigration. Public website email found on https://www.SuvarnaLaw.com/.",https://www.SuvarnaLaw.com/,ready_outreach
TX-IMM-00015,"Law Offices of Fadel A. Ibrahim, PLLC",https://www.ibrahimimmigration.com/,https://www.ibrahimimmigration.com/consultation,info@ibrahimimmigration.com,,+713-340-7871,Houston,Texas,Immigration,Fadel Ibrahim,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: board certified in Immigration and Nationality Law. Texas Bar detail: firm 'Law Offices of Fadel A. Ibrahim, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: book consultation, spanish-language positioning, consultation CTA, schedule consultation. Website sub-practice signals: deport, removal, naturalization, citizenship. Public website email found on https://www.ibrahimimmigration.com/.",https://www.ibrahimimmigration.com/,ready_outreach
TX-IMM-00016,"Law Offices of Hector J. Lopez, PLLC",http://www.abogadolatinohouston.com/,https://www.abogadolatinohouston.com/contact,info@hjlopezlaw.com,,+713-532-2110,Houston,Texas,Immigration,Hector J. Lopez,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Law Offices of Hector J. Lopez, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA. Website sub-practice signals: asylum, deport, removal, naturalization. Public website email found on http://www.abogadolatinohouston.com/.",http://www.abogadolatinohouston.com/,ready_outreach
TX-IMM-00017,"Law Offices of Karina Gonzalez, PLLC",http://www.kg.legal/,http://www.kg.legal/contact,contact@kg.legal,user@domain.com,+713-202-6440,Houston,Texas,"Family, Immigration",Karina Gonzalez,Owner,http://www.linkedin.com/in/karina-gonzalez-665782139/,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Law Offices of Karina Gonzalez, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA, free consultation. Website sub-practice signals: family immigration, green card, asylum, removal. Public website email found on http://www.kg.legal/.",http://www.kg.legal/,ready_outreach
TX-IMM-00018,McGettrick Law PLLC,https://mcgettricklaw.com/,https://mcgettricklaw.com/contact,denise@mcgettricklaw.com,,+832-389-2949,Houston,Texas,Immigration,Denise Jones McGettrick,Principal Attorney,http://www.linkedin.com/in/denise-mcgettrick-5a79a259/,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: board certified in Immigration and Nationality Law. Texas Bar detail: firm 'McGettrick Law PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA. Website sub-practice signals: visa. Public website email found on https://mcgettricklaw.com/.",https://mcgettricklaw.com/,ready_outreach
TX-IMM-00019,"Mokolo Law Firm, PLLC",http://www.mokololaw.com/,http://www.mokololaw.com/,cduru@mokololaw.com,umokolo@mokololaw.com,+713-784-2906,Houston,Texas,"Criminal, Family, Litigation: Personal Injury, Immigration",Uzoamaka Jovita Mokolo,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Mokolo Law Firm, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, consultation CTA. Website sub-practice signals: asylum, naturalization, citizenship, green card. Public website email found on https://www.mokololaw.com/team/caresse-duru.",https://www.mokololaw.com/team/caresse-duru,ready_outreach
TX-IMM-00020,Odunze Nwogu Law Group,http://www.onlawgroup.com/,https://www.onlawgroup.com/legal-services-contact-us,legalassistant@onlawgroup.com,nwadi@onlawgroup.com,+713-334-8080,Houston,Texas,"Health Care, Litigation: Personal Injury, Taxation, Immigration",Nnaemeka I. Odunze,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Odunze Nwogu Law Group', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, free consultation, consultation CTA. Website sub-practice signals: deport, removal, naturalization, citizenship. Public website email found on http://www.onlawgroup.com/.",http://www.onlawgroup.com/,ready_outreach
TX-IMM-00021,"Powers Law Group, P.C.",http://www.RubyPowersLaw.com/,https://rubypowerslaw.com/consultation,contact@rubypowerslaw.com,free@www.zoom.us,+713-589-2085,Houston,Texas,Immigration,Ruby Lichte Powers,Principal Attorney,http://www.linkedin.com/in/rubypowers,https://www.linkedin.com/company/powers-law-group-p-c/,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: board certified in Immigration and Nationality Law. Texas Bar detail: firm 'Powers Law Group, P.C.', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, spanish-language positioning, consultation CTA. Website sub-practice signals: asylum, deport, removal, naturalization. Public website email found on https://rubypowerslaw.com/services/asylum.",https://rubypowerslaw.com/services/asylum,ready_outreach
TX-IMM-00022,Ramji Law Firm P.C.,http://www.attorneyramji.com/,http://www.attorneyramji.com/contact,saahir@attorneyramji.com,jane@framer.com,+713-777-2654,Houston,Texas,"Business, Criminal, Family, Litigation: Personal Injury, Real Estate, Immigration",Saahir Mohammad Ramji,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Ramji Law Firm P.C.', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA. Website sub-practice signals: citizenship, green card. Public website email found on http://www.attorneyramji.com/.",http://www.attorneyramji.com/,ready_outreach
TX-IMM-00023,"Rhodes Immigration Law Office, PLLC",http://AbogadoBR.com/,https://www.abogadobr.com/contact-us,info@abogadobr.com,in**@*******br.com,+281-936-8677,Houston,Texas,Immigration,Brian Rhodes,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Rhodes Immigration Law Office, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: book consultation, call now, consultation CTA. Website sub-practice signals: deport, removal, naturalization, citizenship. Public website email found on http://AbogadoBR.com/.",http://AbogadoBR.com/,ready_outreach
TX-IMM-00024,"SHEV Law Group, PLLC",https://shevlawgroup.com/,https://shevlawgroup.com/,info@shevlawgroup.com,,+281-429-8114,Houston,Texas,"Business, Litigation: Commercial, Litigation: Personal Injury, Oil, Gas and Energy Resources, Real Estate, Taxation, Wills-Trusts-Probate, Immigration, Construction, Mediation, Contracts",Divjyot Singh,Managing Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'SHEV Law Group, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, consultation CTA, call now. Website sub-practice signals: deport, removal, naturalization, citizenship. Public website email found on https://shevlawgroup.com/.",https://shevlawgroup.com/,ready_outreach
TX-IMM-00025,Shakya Immigration Law PLLC,http://www.silawpllc.com/,http://www.silawpllc.com/contact-6,admin@silawpllc.com,user@domain.com,+281-766-0055,Houston,Texas,Immigration,Merina Shakya,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,https://www.linkedin.com/company/shakya-immigration-law-pllc,6-10,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Shakya Immigration Law PLLC', size '6 to 10', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA. Website sub-practice signals: asylum, deport, removal, naturalization. Public website email found on http://www.silawpllc.com/.",http://www.silawpllc.com/,ready_outreach
TX-IMM-00026,The Goldberg Law Office PLLC,http://www.lawgoldberg.com/,https://lawgoldberg.com/contact-us,sara@lawgoldberg.com,reprints@law360.com,+713-942-0600,Houston,Texas,"Ethics-Legal Malpractice, Litigation: Commercial, Litigation: Personal Injury, Immigration, Construction, Arbitration",Daniel Israel Joshua Goldberg,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,https://www.linkedin.com/company/goldberg-lawtx,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'The Goldberg Law Office PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: spanish-language positioning. Website sub-practice signals: deport, citizenship, visa, naturalization. Public website email found on http://www.lawgoldberg.com/.",http://www.lawgoldberg.com/,ready_outreach
TX-IMM-00027,The Izaguirre Law Firm,http://www.izalaw.com/,http://www.izalaw.com/contact,info@izalaw.com,,+281-227-8999,Houston,Texas,"Family, Litigation: Personal Injury, Immigration",Mariana Palazuelos Izaguirre,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'The Izaguirre Law Firm', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: bilingual positioning. Website sub-practice signals: visa. Public website email found on http://www.izalaw.com/.",http://www.izalaw.com/,ready_outreach
TX-IMM-00028,"The Law Firm of Esther S. Noh, PLLC",http://www.esnlawfirm.com/,http://www.esnlawfirm.com/contact-us,info@greenfamilyimmigration.com,,+832-461-0157,Houston,Texas,"Immigration, Mediation",Esther Sunghee Noh,Principal Attorney,http://www.linkedin.com/profile/public-profile-settings?trk=prof-edit-edit-public_profile,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'The Law Firm of Esther S. Noh, PLLC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA, bilingual positioning, spanish-language positioning, free consultation. Website sub-practice signals: naturalization, family immigration, green card, waiver. Public website email found on http://www.esnlawfirm.com/contact-us. Public email domain differs from firm branding; marked review_needed.",http://www.esnlawfirm.com/contact-us,review_needed
TX-IMM-00029,The Moon Law Firm,http://www.MoonLawFirm.com/,http://www.MoonLawFirm.com/,jmoon@moonlawfirm.com,user@domain.com,+713-999-9398,Houston,Texas,"Business, Consumer, Criminal, Ethics-Legal Malpractice, Family, Government/Administrative, Insurance, Litigation: Commercial, Litigation: Personal Injury, Real Estate, Other, Elder Law, Immigration, Construction",John Henry Moon III,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'The Moon Law Firm', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: schedule consultation, consultation CTA. Public website email found on http://www.MoonLawFirm.com/.",http://www.MoonLawFirm.com/,ready_outreach
TX-IMM-00030,The Romero Law Firm PC,http://www.attorneyromero.com/,http://www.attorneyromero.com/,pnr@attorneyromero.com,profile@lawyers.com,+281-220-1067,Houston,Texas,"Family, Litigation: Personal Injury, Wills-Trusts-Probate, Immigration, Mediation",David Romero,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'The Romero Law Firm PC', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: consultation CTA. Website sub-practice signals: visa, family immigration. Public website email found on http://www.attorneyromero.com/.",http://www.attorneyromero.com/,ready_outreach
TX-IMM-00031,The Tausk Law Firm,http://www.tausklawfirm.com/,https://tausklawfirm.com/contact,gene@tausklawfirm.com,,+713-550-4636,Houston,Texas,"Administrative and Public, Alternative Dispute Resolution, Criminal, Ethics-Legal Malpractice, Litigation: Commercial, Taxation, Immigration, Finance, Appellate: Criminal",Eugene Paul Tausk,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'The Tausk Law Firm', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website CTA signals: spanish-language positioning, consultation CTA. Website sub-practice signals: deport, removal, naturalization, family immigration. Public website email found on https://tausklawfirm.com/gene-tausk.",https://tausklawfirm.com/gene-tausk,ready_outreach
TX-IMM-00032,Valencia Law Firm,http://www.valencialawoffice.com/,http://www.valencialawoffice.com/contacto.html,aristeo@valencialawoffice.com,,+713-338-2467,Houston,Texas,"Criminal, Family, Litigation: Personal Injury, Taxation, Immigration",Aristeo Bernabe Valencia,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Valencia Law Firm', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website sub-practice signals: deport. Public website email found on http://www.valencialawoffice.com/.",http://www.valencialawoffice.com/,ready_outreach
TX-IMM-00033,"Vergara Miller Law, P.L.L.C.",https://lawvm.com/,https://lawvm.com/contactenos,info@lawvm.com,,+832-305-6560,Houston,Texas,"Family, Immigration",Denisse Vergara Miller,Principal Attorney,https://www.linkedin.com/company/state-bar-of-texas,,2-5,yes,bilingual service delivery pressure,3,3,3,3,12,Tier A,Founder-led Houston immigration firm with bilingual positioning likely bilingual service delivery pressure.,bilingual service delivery pressure,"Texas Bar detail: firm 'Vergara Miller Law, P.L.L.C.', size '2 to 5', occupation 'Private Law Practice', city 'Houston'. Website sub-practice signals: deport, visa. Public website email found on https://lawvm.com/.",https://lawvm.com/,ready_outreach
